id_empresa,empresa,total_funcionarios
1,Dream Events,334
2,Stellar Productions,452
3,Elite Occasions,153
4,Enchanted Affairs,220
5,Spectra Events,534
6,Fusion Experiences,347
7,Grand Gala Productions,437
8,Magical Moments,211
9,Prestige Celebrations,139
10,Euphoria Events,484
11,Opulent Occasions,221
12,Blissful Gatherings,537
13,Radiant Celebrations,222
14,Majestic Affairs,548
15,Sparkle Productions,578
16,Harmony Events,139
17,Celebrate Excellence,172
18,Imagination Events,339
19,Jubilee Enterprises,187
20,Aether Event Planning,539
